region,af-south-1,ap-east-1,ap-south-1,ap-southeast-7,ca-central-1,eu-central-2,eu-south-1,mx-central-1,us-east-2,us-west-2
af-south-1,3,378,277,361,220,150,192,278,236,274
ap-east-1,376,3,102,63,203,187,183,213,194,144
ap-south-1,277,102,3,89,190,113,107,242,199,236
ap-southeast-7,373,75,99,0,255,179,182,271,244,201
ca-central-1,221,203,190,253,2,93,104,69,25,60
eu-central-2,150,188,115,178,93,1,7,146,101,143
eu-south-1,189,184,108,175,101,6,2,155,112,152
mx-central-1,278,218,247,276,71,149,162,1,50,92
us-east-2,235,193,202,243,26,104,114,50,3,49
us-west-2,272,144,233,197,60,143,151,89,47,2
